#始点 終点 営業キロ
高畑 名古屋 6.6
名古屋 伏見 1.4
伏見 栄 1
栄 今池 2.7
今池 本山 2.5
本山 藤が丘 6.4
平安通 本山 5.9
本山 八事 3.1
八事 新瑞橋 3.5
新瑞橋 金山 5.7
金山 上前津 1.6
上前津 栄 1.4
栄 久屋大通 0.4
久屋大通 平安通 4.8
金山 名古屋港 6
上小田井 丸の内 6.3
丸の内 伏見 0.7
伏見 上前津 1.8
上前津 御器所 3.1
御器所 八事 3.1
八事 赤池 5.4
中村区役所 名古屋 0.9
名古屋 丸の内 1.5
丸の内 久屋大通 0.9
久屋大通 今池 3
今池 御器所 2.1
御器所 新瑞橋 3.4
新瑞橋 徳重 7.3
平安通 上飯田 0.8
